celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elimination_week,final_place,weeks_participated,week1_judge_total,week1_judge_mean,week1_judge_count,week2_judge_total,week2_judge_mean,week2_judge_count,week3_judge_total,week3_judge_mean,week3_judge_count,week4_judge_total,week4_judge_mean,week4_judge_count,week5_judge_total,week5_judge_mean,week5_judge_count,week6_judge_total,week6_judge_mean,week6_judge_count,week7_judge_total,week7_judge_mean,week7_judge_count,week8_judge_total,week8_judge_mean,week8_judge_count,week9_judge_total,week9_judge_mean,week9_judge_count,week10_judge_total,week10_judge_mean,week10_judge_count,week11_judge_total,week11_judge_mean,week11_judge_count,avg_judge_total,max_judge_total,min_judge_total,std_judge_total,score_trend,partner_prev_seasons,partner_historical_avg_placement,is_us_contestant,age_group,industry_category
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,31,Eliminated Week 8,8,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.625,10.125,9.625,9.625,9.0,9.0,9.0,9.0,8.5,9.0,9.0,8.5,9.0,8.0,9.0,9.0,,,,,,,,,,,,,8.0,,8.0,24.0,6.0,4,28.0,7.0,4,32.0,8.0,4,34.0,8.5,4,39.0,9.75,4,36.0,9.0,4,35.0,8.75,4,35.0,8.75,4,,,0,,,0,,,0,32.875,39.0,24.0,4.793969425970806,7.333333333333336,10,7.7,1,46-55,Media
Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,32,4th Place,4,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,10.0,9.0,9.0,,9.75,9.75,8.75,9.75,9.0,9.0,9.0,9.0,9.75,9.75,9.75,9.75,9.0,10.0,9.0,10.0,10.0,9.5,10.0,,9.5,10.0,10.0,,,4.0,11.0,22.0,7.333333333333333,3,21.0,7.0,3,32.0,8.0,4,24.0,8.0,3,28.0,9.333333333333334,3,38.0,9.5,4,36.0,9.0,4,39.0,9.75,4,38.0,9.5,4,29.5,9.833333333333334,3,29.5,9.833333333333334,3,30.636363636363637,39.0,21.0,6.557785102803038,7.333333333333336,11,7.7272727272727275,1,26-35,Media
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,20.0,6.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,20.0,6.666666666666667,3,22.5,7.5,3,,,0,,,0,,,0,,,0,,,0,,,0,21.1,22.5,20.0,1.1401754250991378,0.5,0,6.814726840855107,1,26-35,Entertainment
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,12.0,4.0,3,16.0,5.333333333333333,3,14.0,4.666666666666667,3,8.0,2.6666666666666665,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,12.5,16.0,8.0,3.415650255319866,-1.333333333333334,1,3.0,1,26-35,Entertainment
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,17.0,5.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,20.0,22.0,17.0,2.6457513110645907,,2,5.0,1,46-55,Entertainment
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,5.0,4.0,5.0,,4.0,4.0,4.0,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,14.0,4.666666666666667,3,12.0,4.0,3,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,13.0,14.0,12.0,1.0,,3,6.333333333333333,1,>55,Other
Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,27,Eliminated Week 4,10,8.0,7.0,8.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,23.0,7.666666666666667,3,26.0,8.666666666666666,3,27.0,9.0,3,26.0,8.666666666666666,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.5,27.0,23.0,1.7320508075688772,1.0,0,6.814726840855107,1,≤25,Entertainment
Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,28,Eliminated Week 2,12,6.0,5.0,6.0,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,17.0,5.666666666666667,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,16.0,17.0,15.0,1.4142135623730951,,1,10.0,1,>55,Entertainment
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,Withdrew,9,6.0,6.0,6.0,,6.0,6.0,6.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,9.0,,8.0,9.0,8.0,,,,,,,,,,,,,,,,,,-1.0,,7.0,18.0,6.0,3,18.0,6.0,3,22.0,7.333333333333333,3,21.0,7.0,3,24.0,8.0,3,25.0,8.333333333333334,3,25.0,8.333333333333334,3,,,0,,,0,,,0,,,0,21.857142857142858,25.0,18.0,3.023715784073818,5.333333333333336,2,11.0,1,36-45,Media
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,Eliminated Week 6,10,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,,7.0,7.0,8.0,7.5,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,26.0,6.5,4,24.0,6.0,4,21.0,7.0,3,29.5,7.375,4,36.0,9.0,4,32.0,8.0,4,,,0,,,0,,,0,,,0,,,0,28.083333333333332,36.0,21.0,5.499242372060597,8.833333333333332,3,10.333333333333334,1,46-55,Media
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,31,Eliminated Week 7,9,7.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,8.875,8.375,8.875,9.375,9.0,8.0,8.0,9.0,8.5,9.0,8.5,8.5,,,,,,,,,,,,,,,,,7.0,,7.0,26.0,6.5,4,27.0,6.75,4,29.0,7.25,4,34.0,8.5,4,35.5,8.875,4,34.0,8.5,4,34.5,8.625,4,,,0,,,0,,,0,,,0,31.428571428571427,35.5,26.0,3.9626229889280347,7.333333333333332,4,10.25,1,26-35,Entertainment
Lele Pons,Brandon Armstrong,Social Media Personality,Unknown,Venezuela,27,32,Eliminated Week 7,8,6.0,7.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,7.0,7.0,7.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,10.0,9.5,9.0,9.0,9.0,,,,,,,,,,,,,,,,,7.0,,7.0,19.0,6.333333333333333,3,21.0,7.0,3,27.0,6.75,4,22.0,7.333333333333333,3,24.0,8.0,3,37.0,9.25,4,36.5,9.125,4,,,0,,,0,,,0,,,0,26.642857142857142,37.0,19.0,7.341175460568774,10.166666666666668,5,10.0,0,26-35,Media
Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,33,3rd Place,3,8.0,7.0,8.0,,8.0,8.0,8.0,,8.5,8.5,9.0,8.5,8.0,8.0,8.0,8.0,9.0,9.0,9.0,,10.0,11.0,11.0,,10.0,10.0,10.0,,9.5,9.5,10.0,,10.0,10.0,10.0,,,,,,,,,,,3.0,9.0,23.0,7.666666666666667,3,24.0,8.0,3,34.5,8.625,4,32.0,8.0,4,27.0,9.0,3,32.0,10.666666666666666,3,30.0,10.0,3,29.0,9.666666666666666,3,30.0,10.0,3,,,0,,,0,29.055555555555557,34.5,23.0,3.7950991789119,2.5,6,9.666666666666666,1,≤25,Entertainment
Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,34,Eliminated Week 3,12,7.0,6.0,,,7.0,7.0,7.0,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,13.0,6.5,2,21.0,7.0,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17.333333333333332,21.0,13.0,4.041451884327381,,7,8.714285714285714,1,26-35,Entertainment
Shandi Finnessey,Brian Fortuna,Beauty Pageant,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,19.0,6.333333333333333,3,20.0,6.666666666666667,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,20.0,21.0,19.0,1.0,,0,6.814726840855107,1,26-35,Model
Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,29,Eliminated Week 10,6,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,10.0,9.0,,7.0,8.0,7.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.5,9.5,9.5,,,,,,10.0,,10.0,18.0,6.0,3,18.0,6.0,3,24.0,8.0,3,24.0,8.0,3,29.0,9.666666666666666,3,22.0,7.333333333333333,3,27.0,9.0,3,30.0,10.0,3,30.0,10.0,3,28.5,9.5,3,,,0,25.05,30.0,18.0,4.60947092649712,9.5,0,6.814726840855107,1,36-45,Sports
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,Eliminated Week 2,15,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,13.0,3.25,4,15.0,3.75,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,14.0,15.0,13.0,1.4142135623730951,,1,6.0,1,>55,Entertainment
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,Eliminated Week 9,5,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.125,8.125,8.625,8.625,9.0,8.0,8.0,9.0,9.0,8.5,9.5,9.5,10.0,9.0,10.0,10.0,9.0,8.0,9.0,8.5,,,,,,,,,9.0,,9.0,27.0,6.75,4,29.0,7.25,4,31.0,7.75,4,29.0,7.25,4,33.5,8.375,4,34.0,8.5,4,36.5,9.125,4,39.0,9.75,4,34.5,8.625,4,,,0,,,0,32.611111111111114,39.0,27.0,3.911343900900445,7.666666666666664,2,10.5,1,26-35,Entertainment
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,32,Eliminated Week 4,11,6.0,6.0,6.0,,5.0,5.0,5.0,,5.0,5.0,6.0,6.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,18.0,6.0,3,15.0,5.0,3,22.0,5.5,4,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,19.0,22.0,15.0,3.1622776601683795,1.0,3,8.666666666666666,1,36-45,Sports
Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,33,Eliminated Week 3,10,5.0,5.0,5.0,,6.0,4.0,5.0,,6.5,5.5,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,15.0,5.0,3,15.0,5.0,3,23.0,5.75,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17.666666666666668,23.0,15.0,4.618802153517007,,4,9.25,1,>55,Entertainment
Baron Davis,Britt Stewart,Athlete,California,United States,46,34,Eliminated Week 2,13,5.0,5.0,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,10.0,5.0,2,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,14.0,18.0,10.0,5.656854249492381,,5,9.4,1,46-55,Sports
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,20.0,6.666666666666667,3,26.0,8.666666666666666,3,24.0,8.0,3,21.0,7.0,3,27.0,9.0,3,27.0,9.0,3,,,0,,,0,,,0,,,0,,,0,24.166666666666668,27.0,20.0,3.0605010483034745,1.6666666666666679,0,6.814726840855107,1,46-55,Entertainment
Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,8,Eliminated Week 10,4,5.0,4.0,5.0,,7.0,6.0,7.0,,8.0,8.0,7.0,,9.0,8.0,8.0,,7.0,7.0,7.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,7.5,8.0,7.5,,8.0,8.0,8.0,,,,,,10.0,,10.0,14.0,4.666666666666667,3,20.0,6.666666666666667,3,23.0,7.666666666666667,3,25.0,8.333333333333334,3,21.0,7.0,3,18.0,6.0,3,24.0,8.0,3,26.0,8.666666666666666,3,23.0,7.666666666666667,3,24.0,8.0,3,,,0,21.8,26.0,14.0,3.6453928305312844,5.333333333333332,0,6.814726840855107,1,36-45,Sports
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,8.6666,9.6666,8.6666,,6.0,7.0,6.0,,8.0,5.0,7.0,,5.0,5.0,6.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,26.9998,8.999933333333333,3,19.0,6.333333333333333,3,20.0,6.666666666666667,3,16.0,5.333333333333333,3,22.0,7.333333333333333,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,21.333299999999998,26.9998,16.0,3.8815220390975496,-1.3332666666666633,1,4.0,1,≤25,Sports
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,6.5,6.5,6.0,,8.0,7.0,8.0,,8.3333,8.3333,8.3333,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,20.0,6.666666666666667,3,20.0,6.666666666666667,3,21.0,7.0,3,19.0,6.333333333333333,3,23.0,7.666666666666667,3,24.999899999999997,8.3333,3,,,0,,,0,,,0,,,0,,,0,21.333316666666665,24.999899999999997,19.0,2.2508931564307226,1.9999666666666656,2,6.0,1,26-35,Media
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6.0,5.0,5.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,16.0,5.333333333333333,3,12.0,4.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,14.0,16.0,12.0,2.8284271247461903,,3,6.333333333333333,1,>55,Entertainment
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,7.0,6.0,6.0,,7.0,8.0,8.0,,7.0,6.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,7.5,8.0,7.0,7.5,8.5,9.0,8.5,,,,,,,,,,,,,,8.0,,8.0,19.0,6.333333333333333,3,23.0,7.666666666666667,3,20.0,6.666666666666667,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,30.0,7.5,4,26.0,8.666666666666666,3,,,0,,,0,,,0,24.375,30.0,19.0,3.814914340921881,7.333333333333332,4,7.5,1,≤25,Entertainment
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,Eliminated Week 8,6,8.0,7.0,8.0,,9.0,8.0,9.0,,8.0,8.0,9.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,8.6666,9.6666,9.6666,,9.5,8.0,8.5,,9.5,9.0,9.5,,,,,,,,,,,,,,8.0,,8.0,23.0,7.666666666666667,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,27.9998,9.333266666666667,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,,,0,,,0,,,0,25.999975,28.0,23.0,1.6035318178053986,2.6665999999999954,5,7.0,1,≤25,Entertainment
Helio Castroneves,Chelsie Hightower,Racing Driver,Unknown,Brazil,37,15,Eliminated Week 3,10,7.0,7.5,7.0,,8.0,7.5,7.5,,8.5,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,21.5,7.166666666666667,3,23.0,7.666666666666667,3,25.5,8.5,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,23.333333333333332,25.5,21.5,2.0207259421636903,,6,6.833333333333333,0,36-45,Sports
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,,1.0,8.0,24.0,8.0,3,27.0,9.0,3,27.0,9.0,3,28.0,9.333333333333334,3,27.0,9.0,3,30.0,10.0,3,27.5,9.166666666666666,3,28.9998,9.6666,3,,,0,,,0,,,0,27.437475,30.0,24.0,1.7614168418390592,2.8332666666666633,0,6.814726840855107,1,26-35,Entertainment
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,,1.0,10.0,24.0,8.0,3,24.0,8.0,3,19.0,6.333333333333333,3,24.0,8.0,3,27.0,9.0,3,25.0,8.333333333333334,3,28.5,9.5,3,27.0,9.0,3,29.5,9.833333333333334,3,29.666600000000003,9.888866666666667,3,,,0,25.76666,29.666600000000003,19.0,3.255755246124418,6.388866666666669,1,1.0,1,36-45,Sports
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,,,,,,,,,9.0,,9.0,21.0,7.0,3,22.0,7.333333333333333,3,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,27.0,9.0,3,23.5,7.833333333333333,3,29.0,9.666666666666666,3,,,0,,,0,24.27777777777778,29.0,21.0,2.412352471021688,4.166666666666668,2,1.0,1,36-45,Entertainment
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6.0,7.0,6.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,19.0,6.333333333333333,3,15.0,5.0,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17.333333333333332,19.0,15.0,2.081665999466133,,3,2.0,1,>55,Entertainment
Cristian de la Fuente,Cheryl Burke,Actor/Actress,Unknown,Chile,34,6,3rd Place,3,7.0,7.0,7.0,,7.0,6.0,7.0,,8.0,8.0,9.0,,9.0,8.0,9.0,,7.0,8.0,8.0,,9.0,9.0,9.0,,7.5,7.5,8.0,,10.0,9.0,9.5,,9.5,9.0,9.5,,9.0,8.0,9.0,,,,,,,3.0,10.0,21.0,7.0,3,20.0,6.666666666666667,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,23.0,7.666666666666667,3,27.0,9.0,3,23.0,7.666666666666667,3,28.5,9.5,3,28.0,9.333333333333334,3,26.0,8.666666666666666,3,,,0,24.75,28.5,20.0,2.8987545218210147,5.5,4,4.0,0,26-35,Entertainment
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,,7.0,6.0,6.0,,8.0,8.0,8.0,,6.0,7.0,7.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,8.0,8.0,8.0,,,,,,,,,,,,,,8.0,,8.0,19.5,6.5,3,19.0,6.333333333333333,3,24.0,8.0,3,20.0,6.666666666666667,3,27.0,9.0,3,21.0,7.0,3,25.0,8.333333333333334,3,24.0,8.0,3,,,0,,,0,,,0,22.4375,27.0,19.0,2.94518371971209,2.5,5,3.8,1,26-35,Sports
Gilles Marini,Cheryl Burke,Actor/Actress,Unknown,France,33,8,2nd Place,2,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.0,10.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.5,,9.5,9.0,9.5,,10.0,10.0,10.0,,9.5,10.0,9.5,,,2.0,11.0,24.0,8.0,3,27.0,9.0,3,27.0,9.0,3,30.0,10.0,3,29.0,9.666666666666666,3,26.0,8.666666666666666,3,27.0,9.0,3,27.5,9.166666666666666,3,28.0,9.333333333333334,3,30.0,10.0,3,29.0,9.666666666666666,3,27.681818181818183,30.0,24.0,1.7926618096106035,3.0,6,4.0,0,26-35,Entertainment
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,7.3333,6.3333,6.3333,,6.0,6.0,6.0,,6.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,3.0,19.9999,6.666633333333333,3,18.0,6.0,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17.666633333333333,19.9999,15.0,2.5165651200263692,,7,3.7142857142857144,1,>55,Other
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,6.0,7.0,,7.5,6.5,8.0,,6.0,6.0,6.0,,10.3333,10.3333,10.3333,,8.5,9.0,8.5,,7.5,7.5,7.5,,8.5,8.5,9.0,,,,,,,,,,9.0,,9.0,18.0,6.0,3,16.0,5.333333333333333,3,20.0,6.666666666666667,3,22.0,7.333333333333333,3,18.0,6.0,3,30.999899999999997,10.3333,3,26.0,8.666666666666666,3,22.5,7.5,3,26.0,8.666666666666666,3,,,0,,,0,22.166655555555554,30.999899999999997,16.0,4.808823054321897,6.833333333333332,8,4.875,1,26-35,Sports
Rick Fox,Cheryl Burke,Athlete,Unknown,Canada,41,11,Eliminated Week 7,6,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,7.0,6.5,,8.0,8.0,8.0,,10.0,10.0,10.0,,9.0,8.5,8.5,8.5,,,,,,,,,,,,,,,,,7.0,,7.0,22.0,7.333333333333333,3,21.0,7.0,3,24.0,8.0,3,19.5,6.5,3,24.0,8.0,3,30.0,10.0,3,34.5,8.625,4,,,0,,,0,,,0,,,0,25.0,34.5,19.5,5.361902647381804,7.166666666666668,9,4.777777777777778,0,36-45,Sports
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,7.0,6.0,6.0,,8.0,7.0,8.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,9.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,19.0,6.333333333333333,3,23.0,7.666666666666667,3,21.0,7.0,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,22.333333333333332,26.0,19.0,2.3380903889000244,2.666666666666668,10,4.9,1,36-45,Sports
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,6.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,8.0,8.0,,8.0,7.0,7.0,,9.0,8.0,8.5,,8.5,8.5,8.5,,11.1666,10.6666,10.6666,,9.4444,9.4444,9.4444,,,,,,,2.0,10.0,16.0,5.333333333333333,3,21.0,7.0,3,24.0,8.0,3,24.0,8.0,3,25.0,8.333333333333334,3,22.0,7.333333333333333,3,25.5,8.5,3,25.5,8.5,3,32.4998,10.833266666666667,3,28.333199999999998,9.4444,3,,,0,24.3833,32.4998,16.0,4.372312296714405,8.444333333333333,11,5.090909090909091,1,≤25,Media
William Levy,Cheryl Burke,Actor/Actress,Unknown,Cuba,31,14,3rd Place,3,8.0,8.0,8.0,,9.0,7.0,9.0,,9.0,9.0,10.0,,7.0,7.0,8.0,,10.0,9.0,10.0,,12.0,11.0,13.0,,9.0,8.5,9.0,,9.5,9.5,9.5,,9.5,9.5,10.0,,10.0,9.6666,10.0,,,,,,,3.0,10.0,24.0,8.0,3,25.0,8.333333333333334,3,28.0,9.333333333333334,3,22.0,7.333333333333333,3,29.0,9.666666666666666,3,36.0,12.0,3,26.5,8.833333333333334,3,28.5,9.5,3,29.0,9.666666666666666,3,29.666600000000003,9.888866666666667,3,,,0,27.76666,36.0,22.0,3.825834404327157,3.388866666666665,12,4.833333333333333,0,26-35,Entertainment
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,Eliminated Week 9,4,8.0,8.5,8.0,,7.5,7.5,7.5,,8.5,8.0,8.5,,9.0,9.0,9.0,9.0,9.25,9.25,9.5,,8.5,8.5,9.5,,10.8333,11.8333,11.8333,,9.5,9.7777,9.7777,,9.0,9.0,9.0,,,,,,,,,,9.0,,9.0,24.5,8.166666666666666,3,22.5,7.5,3,25.0,8.333333333333334,3,36.0,9.0,4,28.0,9.333333333333334,3,26.5,8.833333333333334,3,34.4999,11.499966666666666,3,29.0554,9.685133333333333,3,27.0,9.0,3,,,0,,,0,28.117255555555555,36.0,22.5,4.499844849856245,6.185099999999995,13,4.6923076923076925,1,36-45,Sports
