celebrity_name,fan_share_mean,score,fan_rank,final_rank,season,method
Teresa Giudice,0.05019835124115404,-26.5,15.0,15.0,31,rank
Trevor Donovan,0.09149311317965651,-13.666666666666666,6.0,8.0,31,rank
Vinny Guadagnino,0.07028680573273816,-21.375,10.0,12.0,31,rank
Wayne Brady,0.1166705584586297,-4.7,3.0,2.0,31,rank
Adrian Peterson,0.07581830349390241,-16.25,11.0,9.0,32,rank
Alyson Hannigan,0.10675763571453492,-14.0,5.0,6.0,32,rank
Ariana Madix,0.13696557301634915,-5.363636363636363,3.0,2.0,32,rank
Barry Williams,0.08783983365772238,-15.0,7.0,8.0,32,rank
Charity Lawson,0.13798349787254532,-5.545454545454546,2.0,3.0,32,rank
Harry Jowsey,0.08673703834600295,-17.0,8.0,10.0,32,rank
Jamie Lynn Spears,0.06814805865711128,-18.0,12.0,11.0,32,rank
Jason Mraz,0.1360035003893118,-5.545454545454546,4.0,3.0,32,rank
Lele Pons,0.10002654575380812,-8.714285714285714,6.0,5.0,32,rank
Matt Walsh,0.05299195588545962,-26.0,14.0,14.0,32,rank
Mauricio Umansky,0.0774110096832943,-18.0,10.0,11.0,32,rank
Mira Sorvino,0.0812843916223365,-14.2,9.0,7.0,32,rank
Tyson Beckford,0.06247495783036958,-21.0,13.0,13.0,32,rank
Xochitl Gomez,0.14279779195904865,-3.727272727272727,1.0,1.0,32,rank
Anna Delvey,0.06449914173294612,-20.0,11.0,10.0,33,rank
Brooks Nader,0.08214759707826363,-14.5,9.0,9.0,33,rank
Chandler Kinney,0.15493039977368,-3.111111111111111,1.0,1.0,33,rank
Danny Amendola,0.12407427718484199,-8.88888888888889,5.0,4.0,33,rank
Dwight Howard,0.10571583168899223,-10.714285714285714,7.0,7.0,33,rank
Eric Roberts,0.062100460506288625,-23.0,12.0,12.0,33,rank
Ilona Maher,0.12518487124765526,-10.666666666666666,4.0,5.0,33,rank
Jenn Tran,0.10763644809258917,-10.666666666666666,6.0,5.0,33,rank
Joey Graziadei,0.15118663779128874,-3.6666666666666665,2.0,2.0,33,rank
Phaedra Parks,0.09221688965415871,-11.8,8.0,8.0,33,rank
Reginald VelJohnson,0.06196215970828444,-23.333333333333332,13.0,13.0,33,rank
Stephen Nedoroscik,0.13198337453364298,-7.444444444444445,3.0,3.0,33,rank
Tori Spelling,0.06853673207403942,-20.5,10.0,11.0,33,rank
Alix Earle,0.1280222190478655,-6.2727272727272725,1.0,3.0,34,rank
Andy Richter,0.07603181046547677,-20.333333333333332,11.0,12.0,34,rank
Baron Davis,0.06255905995675014,-22.0,13.0,13.0,34,rank
Corey Feldman,0.04981754904751609,-27.5,14.0,14.0,34,rank
Danielle Fishel,0.08659057135000264,-15.125,7.0,10.0,34,rank
Dylan Efron,0.11258486191505282,-10.272727272727273,5.0,5.0,34,rank
Elaine Hendrix,0.1107761185050238,-10.818181818181818,6.0,7.0,34,rank
Hilaria Baldwin,0.08273642378690133,-10.5,9.0,6.0,34,rank
Jen Affleck,0.08507521011644814,-13.285714285714286,8.0,8.0,34,rank
Jordan Chiles,0.12275578111682041,-6.909090909090909,3.0,4.0,34,rank
Lauren Jauregui,0.07116616267681303,-15.0,12.0,9.0,34,rank
Robert Irwin,0.12738045766604955,-5.636363636363637,2.0,2.0,34,rank
Scott Hoying,0.07689736572887351,-17.333333333333332,10.0,11.0,34,rank
Whitney Leavitt,0.11801672478768,-3.7,4.0,1.0,34,rank
Evander Holyfield,0.14477785075168262,0.2792717185689174,6.0,6.0,1,percent
Joey McIntyre,0.21385151114940348,0.4318910331057461,3.0,4.0,1,percent
John O'Hurley,0.281681290106578,0.5680669723115994,1.0,1.0,1,percent
Kelly Monaco,0.2773978033825541,0.5385626017486026,2.0,2.0,1,percent
Rachel Hunter,0.20898550230568744,0.43369937612389586,4.0,3.0,1,percent
Trista Sutter,0.1529961609201962,0.3140773649538606,5.0,5.0,1,percent
Drew Lachey,0.20336606400690893,0.40355311080872447,1.0,1.0,2,percent
George Hamilton,0.1305384107144833,0.2618668996761396,5.0,5.0,2,percent
Giselle Fernandez,0.11381958972205773,0.23342886933133733,7.0,7.0,2,percent
Jerry Rice,0.1573621367414007,0.3225400889792216,4.0,4.0,2,percent
Kenny Mayne,0.06278083937405526,0.12944750604072192,10.0,10.0,2,percent
Lisa Rinna,0.16170837837728694,0.32281264281968064,3.0,3.0,2,percent
Master P,0.08766466143795194,0.15493827390143783,9.0,9.0,2,percent
Stacy Keibler,0.2023069311418894,0.4028690676116552,2.0,2.0,2,percent
Tatum O'Neal,0.093730325650378,0.195204684624737,8.0,8.0,2,percent
Tia Carrere,0.12763418527154136,0.25950307682372575,6.0,6.0,2,percent
Emmitt Smith,0.2094111338075709,0.41778528161188105,2.0,2.0,3,percent
Harry Hamlin,0.09255270583534715,0.18514377927137546,9.0,9.0,3,percent
Jerry Springer,0.1108667880312431,0.2288882463988732,6.0,6.0,3,percent
Joey Lawrence,0.17869671763255734,0.35663556583569833,3.0,3.0,3,percent
Mario Lopez,0.22304334626628072,0.4385792196584668,1.0,1.0,3,percent
Monique Coleman,0.15188705290515864,0.3070769047303694,4.0,4.0,3,percent
Sara Evans,0.10140305179924405,0.20469081135126332,8.0,8.0,3,percent
Shanna Moakler,0.08366024111949649,0.17393915826469747,10.0,10.0,3,percent
Tucker Carlson,0.06400396272764919,0.12060773631255484,11.0,11.0,3,percent
Vivica A. Fox,0.10950182542951092,0.22444390413286935,7.0,7.0,3,percent
Willa Ford,0.1244031355843099,0.24453097363925966,5.0,5.0,3,percent
Apolo Anton Ohno,0.18340555636568628,0.3614173507648293,1.0,1.0,4,percent
Billy Ray Cyrus,0.1083753295587936,0.2146465498455825,5.0,6.0,4,percent
Clyde Drexler,0.07819922034702642,0.1536681785200777,10.0,11.0,4,percent
Heather Mills,0.107509093609838,0.21935817671210842,6.0,5.0,4,percent
Ian Ziering,0.13980361605357464,0.2856279851036794,4.0,4.0,4,percent
Joey Fatone,0.17968655086251345,0.35649313372465324,2.0,2.0,4,percent
John Ratzenberger,0.09990798477392719,0.2004595139535037,7.0,7.0,4,percent
Laila Ali,0.17343149698319701,0.34702667971857054,3.0,3.0,4,percent
Leeza Gibbons,0.09212477147869771,0.18033279376117864,8.0,8.0,4,percent
Paulina Porizkova,0.07795407834906297,0.16692772606057477,11.0,10.0,4,percent
Shandi Finnessey,0.08323832583631496,0.17330363850275501,9.0,9.0,4,percent
Albert Reed,0.08204877110671296,0.16702244929394117,9.0,10.0,5,percent
Cameron Mathison,0.1245385141331774,0.2505993047424867,5.0,5.0,5,percent
Floyd Mayweather Jr.,0.08356576772392567,0.16967349564909887,8.0,9.0,5,percent
Helio Castroneves,0.17824922146248237,0.3472898242924525,2.0,2.0,5,percent
Jane Seymour,0.1113167975890805,0.2282931160667808,7.0,7.0,5,percent
Jennie Garth,0.14153732412106804,0.28349241684521886,3.0,4.0,5,percent
Josie Maran,0.04844133682201196,0.11069814616053336,12.0,12.0,5,percent
Marie Osmond,0.14017247599822583,0.29196918084702567,4.0,3.0,5,percent
Mark Cuban,0.08183496340145865,0.16994877438823852,10.0,8.0,5,percent
Mel B,0.1856294122929099,0.358235228772007,1.0,1.0,5,percent
Sabrina Bryan,0.12342575078504649,0.2452889605572326,6.0,6.0,5,percent
Wayne Newton,0.07119867251217048,0.14195499874714,11.0,11.0,5,percent
Adam Carolla,0.0770493440860941,0.15510136002448452,10.0,9.0,6,percent
Cristian de la Fuente,0.15806382961209864,0.3162018900239677,3.0,3.0,6,percent
Jason Taylor,0.16783406576378682,0.3334816708390068,2.0,2.0,6,percent
Kristi Yamaguchi,0.18807937543424752,0.3653769308879365,1.0,1.0,6,percent
Mario,0.12780259585819934,0.2597483147386109,4.0,5.0,6,percent
Marissa Jaret Winokur,0.12689587647010503,0.2607396435787506,5.0,4.0,6,percent
Marlee Matlin,0.09879947202279364,0.20073342000313732,7.0,7.0,6,percent
Monica Seles,0.06273054850641084,0.12277762541470694,12.0,12.0,6,percent
Penn Jillette,0.06750749725150673,0.1335032379121847,11.0,11.0,6,percent
Priscilla Presley,0.09828243693918551,0.1981690803382871,8.0,8.0,6,percent
Shannon Elizabeth,0.11577821120359731,0.23366983766524688,6.0,6.0,6,percent
Steve Guttenberg,0.0774712245613493,0.1536166067515127,9.0,10.0,6,percent
Brooke Burke,0.1919685867102182,0.37219958365929723,1.0,1.0,7,percent
Cloris Leachman,0.08799208079541838,0.17492275890183448,9.0,9.0,7,percent
Cody Linley,0.1331460089272055,0.271956073886249,4.0,4.0,7,percent
Jeffrey Ross,0.051564075830320154,0.09918312344936778,13.0,13.0,7,percent
Kim Kardashian,0.07410676758442473,0.1492746552523124,11.0,11.0,7,percent
Lance Bass,0.16593132991529308,0.33234603461727236,2.0,2.0,7,percent
Maurice Greene,0.12576941328329896,0.25208114395990106,5.0,5.0,7,percent
Misty May-Treanor,0.09024037334178103,0.17941835222564229,8.0,8.0,7,percent
Rocco DiSpirito,0.08050641051879705,0.16326018496665295,10.0,10.0,7,percent
Susan Lucci,0.1149337545487126,0.2309373804010306,6.0,6.0,7,percent
Ted McGinley,0.05486478771070878,0.1282774861234072,12.0,12.0,7,percent
Toni Braxton,0.10367090967908435,0.2086920643494486,7.0,7.0,7,percent
Warren Sapp,0.16085393446560975,0.3242844098218095,3.0,3.0,7,percent
Belinda Carlisle,0.06765169575439978,0.13659338377365593,12.0,12.0,8,percent
Chuck Wicks,0.11117779710140283,0.22170647300004317,6.0,6.0,8,percent
David Alan Grier,0.08688480560516543,0.17338469129618997,8.0,8.0,8,percent
Denise Richards,0.07206932827605377,0.14417315596845173,11.0,9.0,8,percent
Gilles Marini,0.1677879002568534,0.3358398334521199,2.0,1.0,8,percent
Holly Madison,0.0725283256453694,0.14128918532376125,10.0,11.0,8,percent
Lawrence Taylor,0.08861153033851199,0.17825012379595456,7.0,7.0,8,percent
Lil' Kim,0.12889253306643467,0.2594098314631514,4.0,4.0,8,percent
Melissa Rycroft,0.15478540090178544,0.3166237451827479,3.0,3.0,8,percent
Shawn Johnson,0.17064573493785706,0.3331213044749514,1.0,2.0,8,percent
Steve Wozniak,0.06224273022719912,0.11389416557287894,13.0,13.0,8,percent
Steve-O,0.07278076305909462,0.1420413325076141,9.0,10.0,8,percent
Ty Murray,0.11431505099521969,0.23568640614857364,5.0,5.0,8,percent
Aaron Carter,0.11084651631968978,0.22264191551094117,5.0,5.0,9,percent
Ashley Hamiliton,0.042285080345880945,0.08908304802260085,16.0,16.0,9,percent
Chuck Liddell,0.06562606258843542,0.1293642282777613,12.0,12.0,9,percent
Debi Mazar,0.06598381190529391,0.1298196285591077,11.0,11.0,9,percent
Donny Osmond,0.14976424681732708,0.2997718266215655,2.0,2.0,9,percent
Joanna Krupa,0.1311227579890532,0.2638211953704906,4.0,4.0,9,percent
Kathy Ireland,0.0498948080333751,0.10513756871661817,14.0,14.0,9,percent
Kelly Osbourne,0.13739029120988006,0.2774843731993592,3.0,3.0,9,percent
Louie Vito,0.07704354123063605,0.15337358588564706,9.0,10.0,9,percent
Macy Gray,0.04282842232112713,0.08962638999784703,15.0,15.0,9,percent
Mark Dacascos,0.09253715604870931,0.18633086357112152,6.0,6.0,9,percent
Melissa Joan Hart,0.08243512500101811,0.16584082892048477,7.0,8.0,9,percent
Michael Irvin,0.07643879020831393,0.15365301805515902,10.0,9.0,9,percent
Mya,0.16802129637072,0.3287121908710299,1.0,1.0,9,percent
Natalie Coughlin,0.08233044284266497,0.1680881713179117,8.0,7.0,9,percent
Tom DeLay,0.061550021118645666,0.11775837320204802,13.0,13.0,9,percent
Aiden Turner,0.08783067097035308,0.1742319024307394,8.0,8.0,10,percent
Buzz Aldrin,0.06887001897596996,0.13072685542445794,11.0,11.0,10,percent
Chad Ochocinco,0.13148268312573957,0.2652049637246029,4.0,4.0,10,percent
Erin Andrews,0.16264462191489043,0.3287612772302803,3.0,3.0,10,percent
Evan Lysacek,0.17515827319533028,0.3493668352327551,2.0,2.0,10,percent
Jake Pavelka,0.10718878099150464,0.21469580542616074,7.0,7.0,10,percent
Kate Gosselin,0.0830976467212893,0.16141505458236985,10.0,10.0,10,percent
Nicole Scherzinger,0.19464198869952984,0.3797276453663724,1.0,1.0,10,percent
Niecy Nash,0.11117863701876109,0.2284319650730366,6.0,6.0,10,percent
Pamela Anderson,0.11643713203458063,0.23922656004260043,5.0,5.0,10,percent
Shannen Doherty,0.08558216650694436,0.1740989129184276,9.0,9.0,10,percent
Audrina Patridge,0.1193014362240723,0.23844711498893253,7.0,7.0,11,percent
Brandy,0.15856859542616206,0.3142840172269485,3.0,3.0,11,percent
Bristol Palin,0.138289537203277,0.2846189474092768,4.0,4.0,11,percent
David Hasselhoff,0.07066343840515642,0.13674273355934144,11.0,11.0,11,percent
Florence Henderson,0.08947348198980147,0.1832566261764861,8.0,8.0,11,percent
Jennifer Grey,0.18391765702803534,0.36107411636329667,1.0,1.0,11,percent
Kurt Warner,0.1196320809706665,0.2402462702846898,6.0,6.0,11,percent
Kyle Massey,0.16308006225773158,0.3257986253324659,2.0,2.0,11,percent
Margaret Cho,0.07408432486568363,0.15040939911768195,10.0,10.0,11,percent
Michael Bolton,0.06556973217011583,0.12796134418598287,12.0,12.0,11,percent
Rick Fox,0.12145741571876989,0.24313435009617543,5.0,5.0,11,percent
The Situation,0.08137990346037527,0.16043922521398638,9.0,9.0,11,percent
Chelsea Kane,0.1836151086417618,0.35758329303042063,1.0,1.0,12,percent
Chris Jericho,0.11026404935699285,0.22097956409571284,6.0,6.0,12,percent
Hines Ward,0.18282992269790227,0.354135946509942,2.0,2.0,12,percent
Kendra Wilkinson,0.107493850351997,0.21947519681845723,7.0,7.0,12,percent
Kirstie Alley,0.1477265646467924,0.3062292433373409,3.0,3.0,12,percent
Mike Catherwood,0.07172289604782792,0.14247571408325466,11.0,11.0,12,percent
Petra Nemcova,0.09681172114405937,0.1992446875983732,8.0,8.0,12,percent
Ralph Macchio,0.13407985141473508,0.27137256473568616,4.0,4.0,12,percent
Romeo,0.13086131881800436,0.2623744085934223,5.0,5.0,12,percent
Sugar Ray Leonard,0.08658908655629162,0.17564633632291343,9.0,9.0,12,percent
Wendy Williams,0.07225761140390981,0.14440094870030143,10.0,10.0,12,percent
Carson Kressley,0.08508113122731645,0.17565363638887094,10.0,10.0,13,percent
Chaz Bono,0.08988929056762303,0.18274962267668834,9.0,9.0,13,percent
Chynna Phillips,0.10164004188090071,0.20307404246001048,7.0,7.0,13,percent
David Arquette,0.11268223615015152,0.22795694526521992,5.0,6.0,13,percent
Elisabetta Canalis,0.07794581706900688,0.1595932308442957,11.0,11.0,13,percent
Hope Solo,0.1356322126960209,0.271675185196885,4.0,4.0,13,percent
J.R. Martinez,0.1735224876928422,0.34581072074854646,2.0,2.0,13,percent
Kristin Cavallari,0.09704655758053443,0.19287260257774289,8.0,8.0,13,percent
Metta World Peace (Ron),0.06781860988959733,0.1323347389218554,12.0,12.0,13,percent
Nancy Grace,0.11183048600194834,0.22916093531629508,6.0,5.0,13,percent
Ricki Lake,0.17453591839364072,0.34914241727129397,1.0,1.0,13,percent
Rob Kardashian,0.17291549999691977,0.33592047574545286,3.0,3.0,13,percent
Donald Driver,0.14508312247718602,0.2971409210737884,3.0,3.0,14,percent
Gavin DeGraw,0.08225490017324313,0.16653273001521535,10.0,10.0,14,percent
Gladys Knight,0.08377765443666174,0.1702120119280853,9.0,9.0,14,percent
Jack Wagner,0.08104527904594978,0.16403407417848717,11.0,11.0,14,percent
Jaleel White,0.10515858970730418,0.2124878610608125,6.0,6.0,14,percent
Katherine Jenkins,0.1683763881125167,0.32585516127280567,1.0,1.0,14,percent
Maria Menounos,0.13828018675455572,0.27044245878647694,4.0,4.0,14,percent
Martina Navratilova,0.06353872955195572,0.13217427960014516,12.0,12.0,14,percent
Melissa Gilbert,0.09230147036160505,0.19512853112756987,7.0,7.0,14,percent
Roshon Fegan,0.11695515439939246,0.231986958516412,5.0,5.0,14,percent
Sherri Sheperd,0.08440190223954991,0.1710344234896342,8.0,8.0,14,percent
William Levy,0.1588958754586715,0.3137193905539347,2.0,2.0,14,percent
Apolo Anton Ohno,0.12754759385058667,0.2512610799500886,4.0,4.0,15,percent
Bristol Palin,0.07478624117777381,0.15383886428114132,12.0,12.0,15,percent
Drew Lachey,0.0763596093840802,0.15822972929569867,10.0,10.0,15,percent
Emmitt Smith,0.11737142611408292,0.23905241925107715,6.0,5.0,15,percent
Gilles Marini,0.11844985994521343,0.23443960480353734,5.0,6.0,15,percent
Helio Castroneves,0.08589947806060778,0.1701720238576049,9.0,9.0,15,percent
Joey Fatone,0.07606161741903875,0.1538930113965527,11.0,11.0,15,percent
Kelly Monaco,0.1402460918503809,0.28253605572758095,3.0,3.0,15,percent
Kirstie Alley,0.087812950198969,0.18880082067885937,8.0,8.0,15,percent
Melissa Rycroft,0.16259117668988274,0.31083165028560755,1.0,1.0,15,percent
Pamela Anderson,0.0463744159782205,0.10785723695471236,13.0,13.0,15,percent
Sabrina Bryan,0.11258454127463761,0.21959715087248033,7.0,7.0,15,percent
Shawn Johnson,0.14573265282525952,0.2933791161631274,2.0,2.0,15,percent
Alexandra Raisman,0.15006790476947213,0.2977759910895194,3.0,3.0,16,percent
Andy Dick,0.08792493167755962,0.17637106849630135,8.0,8.0,16,percent
D. L. Hughley,0.0749552200036234,0.1481422482842811,11.0,11.0,16,percent
Dorothy Hamill,0.07713237606490356,0.15372160936721582,10.0,10.0,16,percent
Ingo Rademacher,0.10960171389547314,0.2268127952728819,5.0,5.0,16,percent
Jacoby Jones,0.1382498769720817,0.2788120260812779,4.0,4.0,16,percent
Kellie Pickler,0.15443397998277386,0.30340193038394025,1.0,2.0,16,percent
Lisa Vanderpump,0.0797476433274133,0.1602706705725886,9.0,9.0,16,percent
Sean Lowe,0.10483208592049272,0.21057154580453055,6.0,6.0,16,percent
Victor Ortiz,0.08835580250402854,0.177886140240742,7.0,7.0,16,percent
Wynonna Judd,0.0733852338355441,0.14545290309264036,12.0,12.0,16,percent
Zendaya,0.15336138066022248,0.30467028279177694,2.0,1.0,16,percent
Amber Riley,0.14723737712347387,0.2920729731043506,2.0,2.0,17,percent
Bill Engvall,0.11122128057701461,0.22970721148275627,6.0,6.0,17,percent
Bill Nye,0.06441646266258387,0.1248639201543525,11.0,12.0,17,percent
Brant Daugherty,0.11108632695344242,0.2217463270571809,7.0,7.0,17,percent
Christina Milian,0.10205014646061457,0.20250974759556722,9.0,9.0,17,percent
Corbin Bleu,0.1511151013268618,0.2956926756601299,1.0,1.0,17,percent
Elizabeth Berkley Lauren,0.11913835753850827,0.23899908561783423,4.0,4.0,17,percent
Jack Osbourne,0.13889719325170932,0.2755455294362251,3.0,3.0,17,percent
Keyshawn Johnson,0.062123166885946844,0.12916087835211226,12.0,11.0,17,percent
Leah Remini,0.11670050180101921,0.23720894477953686,5.0,5.0,17,percent
"Nicole ""Snooki"" Polizzi",0.1042229934237495,0.2086511530785725,8.0,8.0,17,percent
Valerie Harper,0.07039281635426856,0.14343138799336724,10.0,10.0,17,percent
Amy Purdy,0.1546296200101138,0.3004274182614727,2.0,2.0,18,percent
Billy Dee Williams,0.06714236938185977,0.12650602849836584,12.0,12.0,18,percent
Candace Cameron Bure,0.12346939467429927,0.2556281921521075,6.0,5.0,18,percent
Charlie White,0.13416149425091659,0.2665176978011557,4.0,4.0,18,percent
Cody Simpson,0.0955639176203718,0.1948920695183788,8.0,8.0,18,percent
Danica McKellar,0.12485407355227066,0.2464384627842644,5.0,6.0,18,percent
Diana Nyad,0.07073400709304713,0.139436297169383,11.0,11.0,18,percent
Drew Carey,0.08928449293212233,0.18498850596369928,9.0,9.0,18,percent
James Maslow,0.13929745287375295,0.2807016440232551,3.0,3.0,18,percent
Meryl Davis,0.15607557551912327,0.3049672931672076,1.0,1.0,18,percent
NeNe Leakes,0.09722404757405091,0.20192377776011233,7.0,7.0,18,percent
Sean Avery,0.07993995399048814,0.16114067980703173,10.0,10.0,18,percent
Alfonso Ribeiro,0.14663254381535754,0.29216144642342057,2.0,1.0,19,percent
Antonio Sabato Jr.,0.08948556699939544,0.18110861033060227,8.0,7.0,19,percent
Bethany Mota,0.14347931585433382,0.28604708542749874,3.0,3.0,19,percent
Betsey Johnson,0.07467396335297798,0.1506463337686797,12.0,12.0,19,percent
Janel Parrish,0.1479818204889005,0.2917431257694465,1.0,2.0,19,percent
Jonathan Bennett,0.09064253423472812,0.17885816015384645,7.0,8.0,19,percent
Lea Thompson,0.11453030911956412,0.232128460152316,5.0,5.0,19,percent
Lolo Jones,0.05574565480306613,0.11488543974930268,13.0,13.0,19,percent
Michael Waltrip,0.08438818019859151,0.16916543988610636,9.0,9.0,19,percent
Randy Couture,0.07502051668859983,0.15313244687743985,11.0,11.0,19,percent
Sadie Robertson,0.14223934101781938,0.2819825291391808,4.0,4.0,19,percent
Tavis Smiley,0.07644442322384915,0.15409695099667634,10.0,10.0,19,percent
Tommy Chong,0.10078124642620548,0.20602730344983042,6.0,6.0,19,percent
Charlotte McKinney,0.06591372856551077,0.13737968982007712,12.0,12.0,20,percent
Chris Soules,0.09961954494400807,0.2005248303127833,7.0,7.0,20,percent
Michael Sam,0.08265587461346988,0.16551528899902662,9.0,10.0,20,percent
Nastia Liukin,0.14426395058286182,0.2854675136329676,3.0,3.0,20,percent
Noah Galloway,0.13801971446052677,0.2804082918651306,4.0,4.0,20,percent
Patti LaBelle,0.08834447994682183,0.17791963499291538,8.0,8.0,20,percent
Redfoo,0.07856013524066831,0.15781991810547538,11.0,11.0,20,percent
Riker Lynch,0.16859164983492952,0.32870837254290747,1.0,1.0,20,percent
Robert Herjavec,0.09994185551412492,0.20466793789514037,6.0,6.0,20,percent
Rumer Willis,0.16203152351452468,0.321756750349031,2.0,2.0,20,percent
Suzanne Somers,0.08207157686842662,0.16692637182999986,10.0,9.0,20,percent
Willow Shields,0.11325637776207965,0.22693233618491876,5.0,5.0,20,percent
Alek Skarlatos,0.12559371799577676,0.25785262623114286,4.0,4.0,21,percent
Alexa PenaVega,0.1171588041257283,0.2343544087958756,5.0,5.0,21,percent
Andy Grammer,0.10470846223981568,0.21166781769249554,7.0,7.0,21,percent
Bindi Irwin,0.15542047642354206,0.30423765566900424,1.0,1.0,21,percent
Carlos PenaVega,0.1481425298466452,0.2930606688847007,2.0,2.0,21,percent
Chaka Khan,0.05597619139654278,0.10970262392889028,13.0,13.0,21,percent
Gary Busey,0.06773494749285129,0.13542544120670383,10.0,10.0,21,percent
Hayes Grier,0.1010632640626573,0.20228437283216705,8.0,8.0,21,percent
Kim Zolciak-Biermann,0.06623583170323347,0.1244317651597954,11.0,12.0,21,percent
Nick Carter,0.1433075298799764,0.2882196202984741,3.0,3.0,21,percent
Paula Deen,0.07520692049856151,0.14742240011207203,9.0,9.0,21,percent
Tamar Braxton,0.11184122749190333,0.22792522918324273,6.0,6.0,21,percent
Victor Espinoza,0.06508850715825905,0.12928444061482097,12.0,11.0,21,percent
Antonio Brown,0.10967174112761408,0.22625663276184702,5.0,5.0,22,percent
Doug Flutie,0.08042144201041716,0.16402485632748806,10.0,10.0,22,percent
Geraldo Rivera,0.05907953153657458,0.11404806475548325,12.0,12.0,22,percent
Ginger Zee,0.13944881049080687,0.28304586098721707,3.0,3.0,22,percent
Jodie Sweetin,0.10781913356781901,0.2189034551470022,6.0,6.0,22,percent
Kim Fields,0.0955818386429901,0.19368306989803755,8.0,8.0,22,percent
Marla Maples,0.08572965625290203,0.17316346806693417,9.0,9.0,22,percent
Mischa Barton,0.06576454972535693,0.1347709622739278,11.0,11.0,22,percent
Nyle DiMarco,0.14991817582725958,0.2971609961713906,2.0,2.0,22,percent
Paige VanZant,0.1601900614957646,0.3078526090691335,1.0,1.0,22,percent
Von Miller,0.09621038574978891,0.19483176947036346,7.0,7.0,22,percent
Wanya Morris,0.13015391367753631,0.25589467772730295,4.0,4.0,22,percent
Amber Rose,0.07820213421052466,0.16252501680988377,9.0,9.0,23,percent
Babyface,0.07591533395333949,0.15339127037324143,10.0,10.0,23,percent
Calvin Johnson Jr.,0.13323033626112685,0.2659730604585629,3.0,3.0,23,percent
Jake T. Austin,0.06490062571206254,0.13232486813630495,12.0,12.0,23,percent
James Hinchcliffe,0.14370623520671602,0.2844513440949156,2.0,2.0,23,percent
Jana Kramer,0.1324177621413768,0.2650050598506526,4.0,4.0,23,percent
Laurie Hernandez,0.14896748626126496,0.29024631182635247,1.0,1.0,23,percent
Marilu Henner,0.10124752752938478,0.20604461538953972,6.0,6.0,23,percent
Maureen McCormick,0.08837347647958861,0.1804316988621581,8.0,8.0,23,percent
Rick Perry,0.06011170142947995,0.12473679855457709,13.0,13.0,23,percent
Ryan Lochte,0.09129713942592811,0.18554306618755712,7.0,7.0,23,percent
Terra Jole,0.12164729463951622,0.24009527991687946,5.0,5.0,23,percent
Vanilla Ice,0.07468933492785698,0.15181759699146388,11.0,11.0,23,percent
Bonner Bolton,0.09907519981253132,0.2037085572451345,7.0,7.0,24,percent
Charo,0.07386309029508979,0.1478452277039757,10.0,10.0,24,percent
Chris Kattan,0.06074704182142698,0.12242932255151905,12.0,12.0,24,percent
David Ross,0.1328392023317865,0.2766346407905341,4.0,4.0,24,percent
Erika Jayne,0.08737160417735552,0.17630429070650616,9.0,9.0,24,percent
Heather Morris,0.11073224942513128,0.21834743076495788,6.0,6.0,24,percent
Mr. T,0.07015841185721888,0.14400300761653004,11.0,11.0,24,percent
Nancy Kerrigan,0.11160674949001706,0.221509441319851,5.0,5.0,24,percent
Nick Viall,0.0944503098923511,0.1930026370291609,8.0,8.0,24,percent
Normani,0.1719280054635238,0.3358693506349536,1.0,1.0,24,percent
Rashad Jennings,0.17018324533016724,0.33130439855755234,2.0,2.0,24,percent
Simone Biles,0.1433917705748703,0.286072299662453,3.0,3.0,24,percent
Barbara Corcoran,0.05355403118914689,0.11392134472130785,13.0,13.0,25,percent
Debbie Gibson,0.072480418911861,0.14552242054878511,12.0,12.0,25,percent
Derek Fisher,0.0760166994085031,0.1549467157776378,10.0,10.0,25,percent
Drew Scott,0.11418418274883284,0.2360672374801962,5.0,4.0,25,percent
Frankie Muniz,0.1307524077271375,0.26082379057892763,3.0,3.0,25,percent
Jordan Fisher,0.15238846269139686,0.29434122592274664,1.0,1.0,25,percent
Lindsey Stirling,0.14477717527850342,0.2824696896658137,2.0,2.0,25,percent
Nick Lachey,0.07384507522376696,0.15405983131994552,11.0,11.0,25,percent
Nikki Bella,0.09250843770591936,0.18712696605462933,8.0,8.0,25,percent
Sasha Pieterse,0.080005986740386,0.16319888254203285,9.0,9.0,25,percent
Terrell Owens,0.09665636165772816,0.1969412633422327,7.0,7.0,25,percent
Vanessa Lachey,0.09843402349084603,0.19726187837492898,6.0,6.0,25,percent
Victoria Arlen,0.11887705678017231,0.23530008349975706,4.0,5.0,25,percent
Adam Rippon,0.2131298403801012,0.4096542288934258,1.0,1.0,26,percent
Arike Ogunbowale,0.09979355253875201,0.21283316090546317,7.0,7.0,26,percent
Chris Mazdzer,0.12749630676038007,0.2540838368426172,5.0,5.0,26,percent
Jamie Anderson,0.0877055465079585,0.178181736984149,8.0,9.0,26,percent
Jennie Finch Daigle,0.11230048302979505,0.2306997389096728,6.0,6.0,26,percent
Johnny Damon,0.08438947588737751,0.17010376160166324,10.0,10.0,26,percent
Josh Norman,0.19004619293967148,0.37641390386334644,2.0,2.0,26,percent
Kareem Abdul-Jabbar,0.08679211311555907,0.1824084905076374,9.0,8.0,26,percent
Mirai Nagasu,0.1445129479527774,0.2824190625475575,4.0,4.0,26,percent
Tonya Harding,0.17227507494702343,0.3538376881653389,3.0,3.0,26,percent
Alexis Ren,0.13277361945041713,0.26415094340249873,3.0,3.0,27,percent
