celebrity_name,season,week,judge_total,judge_mean,judge_count,judge1_score,judge2_score,judge3_score,judge4_score,placement,elimination_week,is_elimination_week,celebrity_industry,industry_category,age,age_group,partner,partner_experience,home_country,home_state,is_us,weekly_rank,weekly_rank_pct,season_weeks,vote_share_hat,total_votes_hat,votes_hat
Maurice Greene,7,4,20.0,6.666666666666667,3,6.0,7.0,7.0,,5,8.0,False,Athlete,Sports,34,26-35,Cheryl Burke,5,United States,Kansas,1,8.0,0.8888888888888888,10.0,0.0011051631506366563,867227.0648034454,958.4273952555553
Rocco DiSpirito,7,4,18.0,6.0,3,6.0,6.0,6.0,,9,4.0,True,TV Personality,Media,41,36-45,Karina Smirnoff,4,United States,New York,1,9.0,1.0,10.0,0.00014956756801407913,867227.0648034454,129.70904299863952
Brooke Burke,7,5,29.0,9.666666666666666,3,10.0,9.0,10.0,,1,,False,TV Personality,Media,37,36-45,Derek Hough,2,United States,Connecticut,1,1.0,0.125,10.0,0.5771754581552277,925042.2024570084,533911.6570160448
Cody Linley,7,5,28.0,9.333333333333334,3,10.0,9.0,9.0,,4,9.0,False,Actor/Actress,Entertainment,18,≤25,Julianne Hough,3,United States,Texas,1,2.0,0.25,10.0,0.16240500684381987,925042.2024570084,150231.48522085266
Cloris Leachman,7,5,21.0,7.0,3,7.0,7.0,7.0,,7,6.0,False,Actor/Actress,Entertainment,82,>55,Corky Ballas,0,United States,Iowa,1,7.0,0.9375,10.0,0.12520001000000003,925042.2024570084,115815.2929980395
Lance Bass,7,5,21.0,7.0,3,7.0,7.0,7.0,,3,,False,Singer/Rapper,Entertainment,29,26-35,Lacey Schwimmer,0,United States,Mississippi,1,7.0,0.9375,10.0,0.12520001,925042.2024570084,115815.29299803948
Maurice Greene,7,5,27.0,9.0,3,9.0,9.0,9.0,,5,8.0,False,Athlete,Sports,34,26-35,Cheryl Burke,5,United States,Kansas,1,3.0,0.375,10.0,0.009819485000952227,925042.2024570084,9083.438032274407
Susan Lucci,7,5,22.0,7.333333333333333,3,7.0,7.0,8.0,,6,7.0,False,Actor/Actress,Entertainment,61,>55,Tony Dovolani,5,United States,New York,1,5.0,0.6875,10.0,0.00020000999999998236,925042.2024570084,185.01769091340992
Toni Braxton,7,5,22.0,7.333333333333333,3,7.0,7.0,8.0,,8,5.0,True,Singer/Rapper,Entertainment,40,36-45,Alec Mazo,3,United States,Maryland,1,5.0,0.6875,10.0,1.000000009415778e-08,925042.2024570084,0.009250422111670004
Warren Sapp,7,5,25.0,8.333333333333334,3,8.0,8.0,9.0,,2,,False,Athlete,Sports,35,26-35,Kym Johnson,4,United States,Florida,1,4.0,0.5,10.0,1e-08,925042.2024570084,0.009250422024570085
Lance Bass,7,6,27.0,9.0,3,9.0,9.0,9.0,,3,,False,Singer/Rapper,Entertainment,29,26-35,Lacey Schwimmer,0,United States,Mississippi,1,1.0,0.1428571428571428,10.0,0.6483692967081335,982857.3401105714,637254.5223719178
Brooke Burke,7,6,26.0,8.666666666666666,3,8.0,10.0,8.0,,1,,False,TV Personality,Media,37,36-45,Derek Hough,2,United States,Connecticut,1,2.0,0.2857142857142857,10.0,0.23852173454570924,982857.3401105714,234432.83757415556
Warren Sapp,7,6,25.0,8.333333333333334,3,8.0,9.0,8.0,,2,,False,Athlete,Sports,35,26-35,Kym Johnson,4,United States,Florida,1,3.0,0.4285714285714285,10.0,0.08774724241191863,982857.3401105714,86243.02127901585
Cody Linley,7,6,23.0,7.666666666666667,3,8.0,8.0,7.0,,4,9.0,False,Actor/Actress,Entertainment,18,≤25,Julianne Hough,3,United States,Texas,1,4.0,0.6428571428571429,10.0,0.01187529790504872,982857.3401105714,11671.723711976825
Susan Lucci,7,6,23.0,7.666666666666667,3,8.0,8.0,7.0,,6,7.0,False,Actor/Actress,Entertainment,61,>55,Tony Dovolani,5,United States,New York,1,4.0,0.6428571428571429,10.0,0.01187529790504872,982857.3401105714,11671.723711976825
Maurice Greene,7,6,21.0,7.0,3,7.0,7.0,7.0,,5,8.0,False,Athlete,Sports,34,26-35,Cheryl Burke,5,United States,Kansas,1,6.0,0.8571428571428571,10.0,0.001607146805498922,982857.3401105714,1579.5960344198722
Cloris Leachman,7,6,15.0,5.0,3,5.0,5.0,5.0,,7,6.0,True,Actor/Actress,Entertainment,82,>55,Corky Ballas,0,United States,Iowa,1,7.0,1.0,10.0,3.983718642352837e-06,982857.3401105714,3.9154271085718055
Brooke Burke,7,7,30.0,10.0,3,10.0,10.0,10.0,,1,,False,TV Personality,Media,37,36-45,Derek Hough,2,United States,Connecticut,1,1.0,0.1666666666666666,10.0,0.44404439444444443,1040672.4777641344,462104.78020377463
Warren Sapp,7,7,21.0,7.0,3,7.0,7.0,7.0,,2,,False,Athlete,Sports,35,26-35,Kym Johnson,4,United States,Florida,1,6.0,1.0,10.0,0.3335333433333327,1040672.4777641344,347098.9708236551
Cody Linley,7,7,22.0,7.333333333333333,3,8.0,7.0,7.0,,4,9.0,False,Actor/Actress,Entertainment,18,≤25,Julianne Hough,3,United States,Texas,1,5.0,0.8333333333333334,10.0,0.22242223222222265,1040672.4777641344,231468.69551653013
Susan Lucci,7,7,24.0,8.0,3,8.0,8.0,8.0,,6,7.0,True,Actor/Actress,Entertainment,61,>55,Tony Dovolani,5,United States,New York,1,4.0,0.6666666666666666,10.0,1.0000000178617128e-08,1040672.4777641344,0.010406724963523274
Lance Bass,7,7,25.0,8.333333333333334,3,9.0,7.0,9.0,,3,,False,Singer/Rapper,Entertainment,29,26-35,Lacey Schwimmer,0,United States,Mississippi,1,2.0,0.4166666666666667,10.0,1.0000000030298271e-08,1040672.4777641344,0.010406724809171921
Maurice Greene,7,7,25.0,8.333333333333334,3,8.0,9.0,8.0,,5,8.0,False,Athlete,Sports,34,26-35,Cheryl Burke,5,United States,Kansas,1,2.0,0.4166666666666667,10.0,9.999999999999999e-09,1040672.4777641344,0.010406724777641343
Brooke Burke,7,8,27.5,9.166666666666666,3,9.5,8.5,9.5,,1,,False,TV Personality,Media,37,36-45,Derek Hough,2,United States,Connecticut,1,1.0,0.2,10.0,0.571751880722161,1098487.6154176972,628062.3600650703
Warren Sapp,7,8,27.0,9.0,3,9.5,8.5,9.0,,2,,False,Athlete,Sports,35,26-35,Kym Johnson,4,United States,Florida,1,2.0,0.4,10.0,0.3467850454063512,1098487.6154176972,380939.0775909406
Lance Bass,7,8,25.0,8.333333333333334,3,8.5,7.5,9.0,,3,,False,Singer/Rapper,Entertainment,29,26-35,Lacey Schwimmer,0,United States,Mississippi,1,3.0,0.6,10.0,0.046932252342290134,1098487.6154176972,51554.497961663925
Cody Linley,7,8,24.0,8.0,3,8.0,8.0,8.0,,4,9.0,False,Actor/Actress,Entertainment,18,≤25,Julianne Hough,3,United States,Texas,1,4.0,0.9,10.0,0.01736541076459881,1098487.6154176972,19075.688661552955
Maurice Greene,7,8,24.0,8.0,3,8.0,8.0,8.0,,5,8.0,True,Athlete,Sports,34,26-35,Cheryl Burke,5,United States,Kansas,1,4.0,0.9,10.0,0.01716541076459881,1098487.6154176972,18855.991138469417
Lance Bass,7,9,28.5,9.5,3,10.0,9.0,9.5,,3,,False,Singer/Rapper,Entertainment,29,26-35,Lacey Schwimmer,0,United States,Mississippi,1,1.0,0.25,10.0,0.9608750427201593,1156302.7530712606,1111062.4572547853
Brooke Burke,7,9,24.5,8.166666666666666,3,8.0,8.5,8.0,,1,,False,TV Personality,Media,37,36-45,Derek Hough,2,United States,Connecticut,1,2.0,0.625,10.0,0.017599040299659467,1156302.7530712606,20349.818749908307
Warren Sapp,7,9,24.5,8.166666666666666,3,8.5,8.0,8.0,,2,,False,Athlete,Sports,35,26-35,Kym Johnson,4,United States,Florida,1,2.0,0.625,10.0,0.017599040299659467,1156302.7530712606,20349.818749908307
Cody Linley,7,9,23.0,7.666666666666667,3,8.0,7.5,7.5,,4,9.0,True,Actor/Actress,Entertainment,18,≤25,Julianne Hough,3,United States,Texas,1,4.0,1.0,10.0,0.003926876680521687,1156302.7530712606,4540.65831665856
Brooke Burke,7,10,30.0,10.0,3,10.0,10.0,10.0,,1,,False,TV Personality,Media,37,36-45,Derek Hough,2,United States,Connecticut,1,1.0,0.3333333333333333,10.0,0.8589810786775898,1214117.8907248236,1042904.295416569
Warren Sapp,7,10,27.5,9.166666666666666,3,9.0,9.5,9.0,,2,,False,Athlete,Sports,35,26-35,Kym Johnson,4,United States,Florida,1,2.0,0.8333333333333334,10.0,0.07050946066120506,1214117.8907248236,85606.79765412721
Lance Bass,7,10,27.5,9.166666666666666,3,9.0,9.0,9.5,,3,,False,Singer/Rapper,Entertainment,29,26-35,Lacey Schwimmer,0,United States,Mississippi,1,2.0,0.8333333333333334,10.0,0.07050946066120506,1214117.8907248236,85606.79765412721
Gilles Marini,8,1,24.0,8.0,3,8.0,8.0,8.0,,2,,False,Actor/Actress,Entertainment,33,26-35,Cheryl Burke,6,France,Unknown,0,1.0,0.0769230769230769,11.0,0.5501220704217638,699860.5306766083,385008.72414229007
Shawn Johnson,8,1,23.0,7.666666666666667,3,8.0,8.0,7.0,,1,,False,Athlete,Sports,17,≤25,Mark Ballas,3,United States,Iowa,1,2.0,0.1923076923076923,11.0,0.20237859984283532,699860.5306766083,141636.7942835957
Melissa Rycroft,8,1,23.0,7.666666666666667,3,8.0,7.0,8.0,,3,,False,TV Personality,Media,26,26-35,Tony Dovolani,6,United States,Texas,1,2.0,0.1923076923076923,11.0,0.20237859984283532,699860.5306766083,141636.7942835957
Lil' Kim,8,1,21.0,7.0,3,7.0,7.0,7.0,,5,9.0,False,Singer/Rapper,Entertainment,34,26-35,Derek Hough,3,United States,New York,1,4.0,0.3076923076923077,11.0,0.027388965130759217,699860.5306766083,19168.455671096268
Chuck Wicks,8,1,20.0,6.666666666666667,3,6.0,7.0,7.0,,6,8.0,False,Singer/Rapper,Entertainment,29,26-35,Julianne Hough,4,United States,Delaware,1,5.0,0.3846153846153846,11.0,0.01007583718656782,699860.5306766083,7051.680760402458
David Alan Grier,8,1,19.0,6.333333333333333,3,6.0,7.0,6.0,,9,5.0,False,Actor/Actress,Entertainment,52,46-55,Kym Johnson,5,United States,Michigan,1,6.0,0.4615384615384615,11.0,0.0037066933535290073,699860.5306766083,2594.168377456268
Holly Madison,8,1,18.0,6.0,3,6.0,6.0,6.0,,11,4.0,False,TV Personality,Media,30,26-35,Dmitry Chaplin,0,United States,Oregon,1,7.0,0.5769230769230769,11.0,0.0013636162794901509,699860.5306766083,954.3412130032392
Denise Richards,8,1,18.0,6.0,3,6.0,6.0,6.0,,12,3.0,False,Actor/Actress,Entertainment,38,36-45,Maksim Chmerkoskiy,5,United States,Illinois,1,7.0,0.5769230769230769,11.0,0.0013636162794901509,699860.5306766083,954.3412130032392
Belinda Carlisle,8,1,17.0,5.666666666666667,3,6.0,6.0,5.0,,13,2.0,False,Singer/Rapper,Entertainment,50,46-55,Jonathan Roberts,5,United States,California,1,9.0,0.7307692307692307,11.0,0.000501646394871118,699860.5306766083,351.08251212650805
Steve-O,8,1,17.0,5.666666666666667,3,6.0,5.0,6.0,,8,6.0,False,TV Personality,Media,34,26-35,Lacey Schwimmer,1,England,Unknown,0,9.0,0.7307692307692307,11.0,0.000501646394871118,699860.5306766083,351.08251212650805
Lawrence Taylor,8,1,16.0,5.333333333333333,3,6.0,5.0,5.0,,7,7.0,False,Athlete,Sports,50,46-55,Edyta Sliwinska,7,United States,Virginia,1,11.0,0.8461538461538461,11.0,0.00018454539541085558,699860.5306766083,129.15603836616592
Ty Murray,8,1,14.0,4.666666666666667,3,5.0,4.0,5.0,,4,10.0,False,Athlete,Sports,39,36-45,Chelsie Hightower,0,United States,Arizona,1,12.0,0.9230769230769232,11.0,2.4975503357940823e-05,699860.5306766083,17.479369034003877
Steve Wozniak,8,1,13.0,4.333333333333333,3,5.0,4.0,4.0,,10,4.0,False,Entrepreneur,Other,58,>55,Karina Smirnoff,5,United States,California,1,13.0,1.0,11.0,9.18797421829475e-06,699860.5306766083,6.43030051225876
Gilles Marini,8,2,27.0,9.0,3,9.0,9.0,9.0,,2,,False,Actor/Actress,Entertainment,33,26-35,Cheryl Burke,6,France,Unknown,0,1.0,0.0769230769230769,11.0,0.4880830852761866,752350.070477354,367209.3436063434
Steve-O,8,2,14.0,4.666666666666667,3,5.0,4.0,5.0,,8,6.0,False,TV Personality,Media,34,26-35,Lacey Schwimmer,1,England,Unknown,0,13.0,1.0,11.0,0.30789231769230724,752350.070477354,231642.8069152432
Steve Wozniak,8,2,17.0,5.666666666666667,3,6.0,5.0,6.0,,10,4.0,False,Entrepreneur,Other,58,>55,Karina Smirnoff,5,United States,California,1,11.0,0.8846153846153846,11.0,0.07712308692307701,752350.070477354,58023.559882008085
David Alan Grier,8,2,17.0,5.666666666666667,3,6.0,5.0,6.0,,9,5.0,False,Actor/Actress,Entertainment,52,46-55,Kym Johnson,5,United States,Michigan,1,11.0,0.8846153846153846,11.0,0.07712308692307689,752350.070477354,58023.55988200799
Melissa Rycroft,8,2,26.0,8.666666666666666,3,9.0,8.0,9.0,,3,,False,TV Personality,Media,26,26-35,Tony Dovolani,6,United States,Texas,1,2.0,0.1538461538461538,11.0,0.04957834318535153,752350.070477354,37300.26998964966
Holly Madison,8,2,18.0,6.0,3,6.0,6.0,6.0,,11,4.0,False,TV Personality,Media,30,26-35,Dmitry Chaplin,0,United States,Oregon,1,9.0,0.7307692307692307,11.0,0.00020000999999996867,752350.070477354,150.477537596152
Lil' Kim,8,2,23.0,7.666666666666667,3,8.0,7.0,8.0,,5,9.0,False,Singer/Rapper,Entertainment,34,26-35,Derek Hough,3,United States,New York,1,4.0,0.3076923076923077,11.0,1.0000000313925554e-08,752350.070477354,0.007523500940955453
Ty Murray,8,2,20.0,6.666666666666667,3,7.0,6.0,7.0,,4,10.0,False,Athlete,Sports,39,36-45,Chelsie Hightower,0,United States,Arizona,1,6.0,0.5384615384615384,11.0,1.0000000192603331e-08,752350.070477354,0.00752350084967867
Chuck Wicks,8,2,20.0,6.666666666666667,3,6.0,7.0,7.0,,6,8.0,False,Singer/Rapper,Entertainment,29,26-35,Julianne Hough,4,United States,Delaware,1,6.0,0.5384615384615384,11.0,1.0000000068462183e-08,752350.070477354,0.007523500756281068
Lawrence Taylor,8,2,20.0,6.666666666666667,3,7.0,6.0,7.0,,7,7.0,False,Athlete,Sports,50,46-55,Edyta Sliwinska,7,United States,Virginia,1,6.0,0.5384615384615384,11.0,1.0000000020323606e-08,752350.070477354,0.0075235007200640065
Shawn Johnson,8,2,24.0,8.0,3,8.0,8.0,8.0,,1,,False,Athlete,Sports,17,≤25,Mark Ballas,3,United States,Iowa,1,3.0,0.2307692307692307,11.0,1.0000000001675329e-08,752350.070477354,0.007523500706033973
Belinda Carlisle,8,2,18.0,6.0,3,6.0,6.0,6.0,,13,2.0,True,Singer/Rapper,Entertainment,50,46-55,Jonathan Roberts,5,United States,California,1,9.0,0.7307692307692307,11.0,9.999999999999994e-09,752350.070477354,0.007523500704773535
Denise Richards,8,2,21.0,7.0,3,7.0,7.0,7.0,,12,3.0,False,Actor/Actress,Entertainment,38,36-45,Maksim Chmerkoskiy,5,United States,Illinois,1,5.0,0.3846153846153846,11.0,9.999999999999994e-09,752350.070477354,0.007523500704773535
Steve Wozniak,8,3,10.0,3.333333333333333,3,4.0,3.0,3.0,,10,4.0,False,Entrepreneur,Other,58,>55,Karina Smirnoff,5,United States,California,1,12.0,1.0,11.0,0.35314118647058795,804839.6102780995,284222.0148921337
Gilles Marini,8,3,27.0,9.0,3,9.0,9.0,9.0,,2,,False,Actor/Actress,Entertainment,33,26-35,Cheryl Burke,6,France,Unknown,0,1.0,0.1666666666666666,11.0,0.19594506803921566,804839.6102780995,157704.35219659802
Shawn Johnson,8,3,27.0,9.0,3,9.0,9.0,9.0,,1,,False,Athlete,Sports,17,≤25,Mark Ballas,3,United States,Iowa,1,1.0,0.1666666666666666,11.0,0.19594506803921563,804839.6102780995,157704.35219659802
Melissa Rycroft,8,3,27.0,9.0,3,9.0,9.0,9.0,,3,,False,TV Personality,Media,26,26-35,Tony Dovolani,6,United States,Texas,1,1.0,0.1666666666666666,11.0,0.19594506803921563,804839.6102780995,157704.35219659802
Steve-O,8,3,15.0,5.0,3,5.0,5.0,5.0,,8,6.0,False,TV Personality,Media,34,26-35,Lacey Schwimmer,1,England,Unknown,0,11.0,0.9166666666666666,11.0,0.05902353941176477,804839.6102780995,47504.48245739881
Lil' Kim,8,3,25.0,8.333333333333334,3,8.0,8.0,9.0,,5,9.0,False,Singer/Rapper,Entertainment,34,26-35,Derek Hough,3,United States,New York,1,4.0,0.3333333333333333,11.0,1.0000000112697633e-08,804839.6102780995,0.008048396193484514
Lawrence Taylor,8,3,20.0,6.666666666666667,3,7.0,6.0,7.0,,7,7.0,False,Athlete,Sports,50,46-55,Edyta Sliwinska,7,United States,Virginia,1,8.0,0.6666666666666666,11.0,1.0000000089333076e-08,804839.6102780995,0.008048396174679794
David Alan Grier,8,3,24.0,8.0,3,8.0,8.0,8.0,,9,5.0,False,Actor/Actress,Entertainment,52,46-55,Kym Johnson,5,United States,Michigan,1,5.0,0.4166666666666667,11.0,1.0000000032900353e-08,804839.6102780995,0.008048396129260503
Ty Murray,8,3,23.0,7.666666666666667,3,8.0,8.0,7.0,,4,10.0,False,Athlete,Sports,39,36-45,Chelsie Hightower,0,United States,Arizona,1,6.0,0.5416666666666666,11.0,1.0000000014685757e-08,804839.6102780995,0.008048396114600674
Holly Madison,8,3,17.0,5.666666666666667,3,5.0,6.0,6.0,,11,4.0,False,TV Personality,Media,30,26-35,Dmitry Chaplin,0,United States,Oregon,1,9.0,0.75,11.0,9.999999999999995e-09,804839.6102780995,0.008048396102780991
Chuck Wicks,8,3,23.0,7.666666666666667,3,8.0,7.0,8.0,,6,8.0,False,Singer/Rapper,Entertainment,29,26-35,Julianne Hough,4,United States,Delaware,1,6.0,0.5416666666666666,11.0,9.999999999999995e-09,804839.6102780995,0.008048396102780991
Denise Richards,8,3,16.0,5.333333333333333,3,5.0,6.0,5.0,,12,3.0,True,Actor/Actress,Entertainment,38,36-45,Maksim Chmerkoskiy,5,United States,Illinois,1,10.0,0.8333333333333334,11.0,9.999999999999995e-09,804839.6102780995,0.008048396102780991
Gilles Marini,8,4,30.0,10.0,3,10.0,10.0,10.0,,2,,False,Actor/Actress,Entertainment,33,26-35,Cheryl Burke,6,France,Unknown,0,1.0,0.0909090909090909,11.0,0.6831187108536084,857329.1500788452,585657.5837790805
Melissa Rycroft,8,4,29.0,9.666666666666666,3,10.0,9.0,10.0,,3,,False,TV Personality,Media,26,26-35,Tony Dovolani,6,United States,Texas,1,2.0,0.1818181818181818,11.0,0.24164169438323313,857329.1500788452,207166.46846918933
Steve-O,8,4,15.0,5.0,3,5.0,5.0,5.0,,8,6.0,False,TV Personality,Media,34,26-35,Lacey Schwimmer,1,England,Unknown,0,10.0,0.9090909090909092,11.0,0.055755565555555525,857329.1500788452,47800.87162990976
Lil' Kim,8,4,27.0,9.0,3,9.0,8.0,10.0,,5,9.0,False,Singer/Rapper,Entertainment,34,26-35,Derek Hough,3,United States,New York,1,3.0,0.2727272727272727,11.0,0.019483959207602798,857329.1500788452,16704.166187624996
Holly Madison,8,4,16.0,5.333333333333333,3,5.0,6.0,5.0,,11,4.0,True,TV Personality,Media,30,26-35,Dmitry Chaplin,0,United States,Oregon,1,9.0,0.8181818181818182,11.0,1.0000000026999397e-08,857329.1500788452,0.008573291523935822
Ty Murray,8,4,25.0,8.333333333333334,3,9.0,8.0,8.0,,4,10.0,False,Athlete,Sports,39,36-45,Chelsie Hightower,0,United States,Arizona,1,4.0,0.4090909090909091,11.0,1.0000000020757294e-08,857329.1500788452,0.008573291518584285
David Alan Grier,8,4,22.0,7.333333333333333,3,8.0,7.0,7.0,,9,5.0,False,Actor/Actress,Entertainment,52,46-55,Kym Johnson,5,United States,Michigan,1,6.0,0.5909090909090909,11.0,1.000000001118921e-08,857329.1500788452,0.008573291510381288
Lawrence Taylor,8,4,19.0,6.333333333333333,3,7.0,5.0,7.0,,7,7.0,False,Athlete,Sports,50,46-55,Edyta Sliwinska,7,United States,Virginia,1,8.0,0.7272727272727273,11.0,1.0000000005115983e-08,857329.1500788452,0.008573291505174534
Chuck Wicks,8,4,22.0,7.333333333333333,3,8.0,7.0,7.0,,6,8.0,False,Singer/Rapper,Entertainment,29,26-35,Julianne Hough,4,United States,Delaware,1,6.0,0.5909090909090909,11.0,1e-08,857329.1500788452,0.008573291500788453
Steve Wozniak,8,4,12.0,4.0,3,4.0,4.0,4.0,,10,4.0,True,Entrepreneur,Other,58,>55,Karina Smirnoff,5,United States,California,1,11.0,1.0,11.0,1e-08,857329.1500788452,0.008573291500788453
Shawn Johnson,8,4,25.0,8.333333333333334,3,8.0,8.0,9.0,,1,,False,Athlete,Sports,17,≤25,Mark Ballas,3,United States,Iowa,1,4.0,0.4090909090909091,11.0,1e-08,857329.1500788452,0.008573291500788453
Steve-O,8,5,18.0,6.0,3,6.0,6.0,6.0,,8,6.0,False,TV Personality,Media,34,26-35,Lacey Schwimmer,1,England,Unknown,0,9.0,1.0,11.0,0.3638363736363639,909818.6898795908,331025.1327923779
Gilles Marini,8,5,29.0,9.666666666666666,3,10.0,9.0,10.0,,2,,False,Actor/Actress,Entertainment,33,26-35,Cheryl Burke,6,France,Unknown,0,1.0,0.1111111111111111,11.0,0.36303628363636326,909818.6898795908,330297.1959567915
Lawrence Taylor,8,5,20.0,6.666666666666667,3,6.0,7.0,7.0,,7,7.0,False,Athlete,Sports,50,46-55,Edyta Sliwinska,7,United States,Virginia,1,8.0,0.8888888888888888,11.0,0.18201819181818155,909818.6898795908,165603.55281427
Ty Murray,8,5,21.0,7.0,3,7.0,7.0,7.0,,4,10.0,False,Athlete,Sports,39,36-45,Chelsie Hightower,0,United States,Arizona,1,7.0,0.7777777777777778,11.0,0.09110910090909094,909818.6898795908,82892.76282521655
David Alan Grier,8,5,22.0,7.333333333333333,3,7.0,8.0,7.0,,9,5.0,True,Actor/Actress,Entertainment,52,46-55,Kym Johnson,5,United States,Michigan,1,6.0,0.6666666666666666,11.0,1.0000000528055479e-08,909818.6898795908,0.009098187379230651
Shawn Johnson,8,5,26.0,8.666666666666666,3,9.0,8.0,9.0,,1,,False,Athlete,Sports,17,≤25,Mark Ballas,3,United States,Iowa,1,2.0,0.2777777777777778,11.0,1.0000000050247581e-08,909818.6898795908,0.009098186944512096
Lil' Kim,8,5,26.0,8.666666666666666,3,9.0,8.0,9.0,,5,9.0,False,Singer/Rapper,Entertainment,34,26-35,Derek Hough,3,United States,New York,1,2.0,0.2777777777777778,11.0,1.0000000001675324e-08,909818.6898795908,0.009098186900320148
Melissa Rycroft,8,5,25.0,8.333333333333334,3,8.0,8.0,9.0,,3,,False,TV Personality,Media,26,26-35,Tony Dovolani,6,United States,Texas,1,4.0,0.4444444444444444,11.0,1.0000000001675324e-08,909818.6898795908,0.009098186900320148
Chuck Wicks,8,5,23.0,7.666666666666667,3,7.0,8.0,8.0,,6,8.0,False,Singer/Rapper,Entertainment,29,26-35,Julianne Hough,4,United States,Delaware,1,5.0,0.5555555555555556,11.0,9.999999999999989e-09,909818.6898795908,0.009098186898795897
Lil' Kim,8,6,28.0,9.333333333333334,3,10.0,8.0,10.0,,5,9.0,False,Singer/Rapper,Entertainment,34,26-35,Derek Hough,3,United States,New York,1,1.0,0.125,11.0,0.6068630441590709,962308.2296803364,583989.3016831353
Melissa Rycroft,8,6,27.0,9.0,3,9.0,9.0,9.0,,3,,False,TV Personality,Media,26,26-35,Tony Dovolani,6,United States,Texas,1,2.0,0.25,11.0,0.22325243755283933,962308.2296803364,214837.65795329268
Gilles Marini,8,6,26.0,8.666666666666666,3,9.0,8.0,9.0,,2,,False,Actor/Actress,Entertainment,33,26-35,Cheryl Burke,6,France,Unknown,0,3.0,0.4375,11.0,0.08212998196710086,962308.2296803364,79034.35755043878
Shawn Johnson,8,6,26.0,8.666666666666666,3,8.0,9.0,9.0,,1,,False,Athlete,Sports,17,≤25,Mark Ballas,3,United States,Iowa,1,3.0,0.4375,11.0,0.08212998196710086,962308.2296803364,79034.35755043878
Chuck Wicks,8,6,23.0,7.666666666666667,3,8.0,7.0,8.0,,6,8.0,False,Singer/Rapper,Entertainment,29,26-35,Julianne Hough,4,United States,Delaware,1,5.0,0.625,11.0,0.004089011027247483,962308.2296803364,3934.888962773899
Lawrence Taylor,8,6,22.0,7.333333333333333,3,7.0,7.0,8.0,,7,7.0,False,Athlete,Sports,50,46-55,Edyta Sliwinska,7,United States,Virginia,1,6.0,0.75,11.0,0.0015042630916476695,962308.2296803364,1447.5647526969385
Ty Murray,8,6,18.0,6.0,3,6.0,6.0,6.0,,4,10.0,False,Athlete,Sports,39,36-45,Chelsie Hightower,0,United States,Arizona,1,7.0,0.875,11.0,2.7551539580269565e-05,962308.2296803364,26.513073278456925
Steve-O,8,6,16.0,5.333333333333333,3,7.0,4.0,5.0,,8,6.0,True,TV Personality,Media,34,26-35,Lacey Schwimmer,1,England,Unknown,0,8.0,1.0,11.0,3.7286954127005266e-06,962308.2296803364,3.588154281613035
Melissa Rycroft,8,7,29.0,9.666666666666666,3,10.0,9.0,10.0,,3,,False,TV Personality,Media,26,26-35,Tony Dovolani,6,United States,Texas,1,1.0,0.1428571428571428,11.0,0.5898276603042205,1014797.7694810822,598555.7940549684
Shawn Johnson,8,7,28.0,9.333333333333334,3,9.0,9.0,10.0,,1,,False,Athlete,Sports,17,≤25,Mark Ballas,3,United States,Iowa,1,2.0,0.2857142857142857,11.0,0.21698547006017593,1014797.7694810822,220196.37102687068
Gilles Marini,8,7,27.0,9.0,3,9.0,9.0,9.0,,2,,False,Actor/Actress,Entertainment,33,26-35,Cheryl Burke,6,France,Unknown,0,3.0,0.5,11.0,0.07982449346806025,1014797.7694810822,81005.71792134477
Chuck Wicks,8,7,27.0,9.0,3,9.0,9.0,9.0,,6,8.0,False,Singer/Rapper,Entertainment,29,26-35,Julianne Hough,4,United States,Delaware,1,3.0,0.5,11.0,0.07982449346806025,1014797.7694810822,81005.71792134477
Lil' Kim,8,7,26.0,8.666666666666666,3,9.0,8.0,9.0,,5,9.0,False,Singer/Rapper,Entertainment,34,26-35,Derek Hough,3,United States,New York,1,5.0,0.7142857142857143,11.0,0.029365790048823455,1014797.7694810822,29800.338240595804
Ty Murray,8,7,24.0,8.0,3,8.0,8.0,8.0,,4,10.0,False,Athlete,Sports,39,36-45,Chelsie Hightower,0,United States,Arizona,1,6.0,0.8571428571428571,11.0,0.003974227513724424,1014797.7694810822,4033.037216337893
Lawrence Taylor,8,7,21.0,7.0,3,7.0,7.0,7.0,,7,7.0,True,Athlete,Sports,50,46-55,Edyta Sliwinska,7,United States,Virginia,1,7.0,1.0,11.0,0.00019786513693524388,1014797.7694810822,200.79309961995438
Melissa Rycroft,8,8,23.0,7.666666666666667,3,7.5,7.5,8.0,,3,,False,TV Personality,Media,26,26-35,Tony Dovolani,6,United States,Texas,1,6.0,1.0,11.0,0.50020001,1067287.3092818279,533857.1227756435
Lil' Kim,8,8,28.0,9.333333333333334,3,9.0,9.0,10.0,,5,9.0,False,Singer/Rapper,Entertainment,34,26-35,Derek Hough,3,United States,New York,1,1.0,0.1666666666666666,11.0,0.3499672492455643,1067287.3092818279,373515.60378406115
Gilles Marini,8,8,27.5,9.166666666666666,3,9.0,9.0,9.5,,2,,False,Actor/Actress,Entertainment,33,26-35,Cheryl Burke,6,France,Unknown,0,2.0,0.3333333333333333,11.0,0.14983271075443572,1067287.3092818279,159914.5507035041
