season,week,n_contestants,original_rule,true_eliminated,rank_eliminated,pct_eliminated,rank_twist_eliminated,pct_twist_eliminated,rank_matches_true,pct_matches_true,methods_agree,twist_changes_rank,twist_changes_pct
25,9,5,percent,['Victoria Arlen'],['Drew Scott'],['Drew Scott'],Drew Scott,Drew Scott,False,False,True,False,False
25,10,4,percent,['Drew Scott'],['Drew Scott'],['Drew Scott'],Drew Scott,Drew Scott,True,True,True,False,False
26,1,10,percent,"['Jamie Anderson', 'Johnny Damon']","['Kareem Abdul-Jabbar', 'Johnny Damon']","['Kareem Abdul-Jabbar', 'Johnny Damon']",Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,False,False,True,False,False
26,2,8,percent,"['Arike Ogunbowale', 'Kareem Abdul-Jabbar']","['Kareem Abdul-Jabbar', 'Jennie Finch Daigle']","['Kareem Abdul-Jabbar', 'Jennie Finch Daigle']",Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,False,False,True,False,False
26,3,6,percent,"['Mirai Nagasu', 'Chris Mazdzer', 'Jennie Finch Daigle']","['Jennie Finch Daigle', 'Chris Mazdzer', 'Mirai Nagasu']","['Jennie Finch Daigle', 'Chris Mazdzer', 'Mirai Nagasu']",Jennie Finch Daigle,Jennie Finch Daigle,True,True,True,False,False
27,1,13,percent,['Nikki Glaser'],['Joe Amabile'],['Joe Amabile'],Joe Amabile,Joe Amabile,False,False,True,False,False
27,2,12,percent,['Danelle Umstead'],['Joe Amabile'],['Joe Amabile'],Joe Amabile,Joe Amabile,False,False,True,False,False
27,3,11,percent,['Nancy McKeon'],['Joe Amabile'],['Joe Amabile'],Joe Amabile,Joe Amabile,False,False,True,False,False
27,4,10,percent,['Tinashe'],['Joe Amabile'],['Joe Amabile'],Joe Amabile,Joe Amabile,False,False,True,False,False
27,6,9,percent,['Mary Lou Retton'],['John Schneider'],['John Schneider'],John Schneider,John Schneider,False,False,True,False,False
27,7,8,percent,"['John Schneider', 'DeMarcus Ware']","['Joe Amabile', 'DeMarcus Ware']","['Joe Amabile', 'DeMarcus Ware']",Joe Amabile,Joe Amabile,False,False,True,False,False
27,8,6,percent,"['Juan Pablo Di Pace', 'Joe Amabile']","['Bobby Bones', 'Joe Amabile']","['Joe Amabile', 'Bobby Bones']",Bobby Bones,Bobby Bones,False,False,True,False,False
28,2,12,rank,['Mary Wilson'],['Lamar Odom'],['Lamar Odom'],Lamar Odom,Lamar Odom,False,False,True,False,False
28,4,10,rank,['Lamar Odom'],['Lamar Odom'],['Lamar Odom'],Lamar Odom,Lamar Odom,True,True,True,False,False
28,6,9,rank,['Sailor Brinkley-Cook'],['Sean Spicer'],['Sean Spicer'],Sean Spicer,Sean Spicer,False,False,True,False,False
28,7,8,rank,['Karamo Brown'],['Sean Spicer'],['Sean Spicer'],Sean Spicer,Sean Spicer,False,False,True,False,False
28,8,7,rank,['Kate Flannery'],['Sean Spicer'],['Sean Spicer'],Sean Spicer,Sean Spicer,False,False,True,False,False
28,9,6,rank,['Sean Spicer'],['Sean Spicer'],['Sean Spicer'],Sean Spicer,Sean Spicer,True,True,True,False,False
28,10,5,rank,['James Van Der Beek'],['James Van Der Beek'],['James Van Der Beek'],James Van Der Beek,James Van Der Beek,True,True,True,False,False
29,2,15,rank,['Charles Oakley'],['Charles Oakley'],['Charles Oakley'],Skai Jackson,Skai Jackson,True,True,True,True,True
29,3,14,rank,['Carole Baskin'],['Carole Baskin'],['Carole Baskin'],Carole Baskin,Carole Baskin,True,True,True,False,False
29,4,13,rank,['Anne Heche'],['Anne Heche'],['Anne Heche'],Jeannie Mai,Jeannie Mai,True,True,True,True,True
29,5,12,rank,['Jesse Metcalfe'],['Jesse Metcalfe'],['Jesse Metcalfe'],Chrishell Stause,Chrishell Stause,True,True,True,True,True
29,6,11,rank,['Veron Davis'],['Skai Jackson'],['Skai Jackson'],Skai Jackson,Skai Jackson,False,False,True,False,False
29,7,10,rank,['Monica Aldama'],['Monica Aldama'],['Monica Aldama'],Monica Aldama,Monica Aldama,True,True,True,False,False
29,8,8,rank,['Chrishell Stause'],['Nelly'],['Nelly'],Nelly,Nelly,False,False,True,False,False
29,9,7,rank,['AJ McLean'],['Nelly'],['Nelly'],Nelly,Nelly,False,False,True,False,False
29,10,6,rank,"['Skai Jackson', 'Johnny Weir']","['Nelly', 'Johnny Weir']","['Johnny Weir', 'Nelly']",Nelly,Nelly,False,False,True,False,False
30,2,15,rank,['Martin Kove'],['Martin Kove'],['Martin Kove'],Martin Kove,Martin Kove,True,True,True,False,False
30,3,14,rank,['Christine Chiu'],['Cody Rigsby'],['Cody Rigsby'],Cody Rigsby,Cody Rigsby,False,False,True,False,False
30,4,13,rank,"['Matt James', 'Brian Austin Green']","['Brian Austin Green', 'Matt James']","['Brian Austin Green', 'Matt James']",Brian Austin Green,Brian Austin Green,True,True,True,False,False
30,5,11,rank,['Melanie C'],['Iman Shumpert'],['Iman Shumpert'],Iman Shumpert,Iman Shumpert,False,False,True,False,False
30,6,10,rank,['Kenya Moore'],['Kenya Moore'],['Kenya Moore'],Kenya Moore,Kenya Moore,True,True,True,False,False
30,7,9,rank,"['Mike ""The Miz"" Mizanin']","['Mike ""The Miz"" Mizanin']","['Mike ""The Miz"" Mizanin']","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,True,True,False,False
30,8,8,rank,"['Olivia Jade', 'Jimmie Allen']","['Jimmie Allen', 'Iman Shumpert']","['Jimmie Allen', 'Olivia Jade']",Jimmie Allen,Jimmie Allen,False,True,False,False,False
30,9,6,rank,"['Suni Lee', 'Melora Hardin']","['Cody Rigsby', 'Melora Hardin']","['Melora Hardin', 'Cody Rigsby']",Cody Rigsby,Cody Rigsby,False,False,True,False,False
31,1,16,rank,['Jason Lewis'],['Vinny Guadagnino'],['Jason Lewis'],Vinny Guadagnino,Vinny Guadagnino,False,True,False,False,True
31,2,15,rank,['Teresa Giudice'],['Cheryl Ladd'],['Teresa Giudice'],Cheryl Ladd,Cheryl Ladd,False,True,False,False,True
31,3,14,rank,['Cheryl Ladd'],['Vinny Guadagnino'],['Cheryl Ladd'],Vinny Guadagnino,Vinny Guadagnino,False,True,False,False,True
31,4,13,rank,['Sam Champion'],['Sam Champion'],['Sam Champion'],Sam Champion,Sam Champion,True,True,True,False,False
31,5,12,rank,['Joseph Baena'],['Vinny Guadagnino'],['Vinny Guadagnino'],Vinny Guadagnino,Vinny Guadagnino,False,False,True,False,False
31,6,10,rank,['Jessie James Decker'],['Vinny Guadagnino'],['Vinny Guadagnino'],Vinny Guadagnino,Vinny Guadagnino,False,False,True,False,False
31,7,9,rank,['Jordin Sparks'],['Vinny Guadagnino'],['Vinny Guadagnino'],Vinny Guadagnino,Vinny Guadagnino,False,False,True,False,False
31,8,8,rank,"[""Heidi D'Amelio"", 'Vinny Guadagnino']","['Vinny Guadagnino', ""Heidi D'Amelio""]","['Vinny Guadagnino', ""Heidi D'Amelio""]",Vinny Guadagnino,Vinny Guadagnino,True,True,True,False,False
31,9,6,rank,"['Daniel Durant', 'Trevor Donovan']","['Trevor Donovan', 'Daniel Durant']","['Trevor Donovan', 'Daniel Durant']",Trevor Donovan,Trevor Donovan,True,True,True,False,False
32,1,14,rank,['Matt Walsh'],['Matt Walsh'],['Matt Walsh'],Tyson Beckford,Tyson Beckford,True,True,True,True,True
32,2,13,rank,['Jamie Lynn Spears'],['Mauricio Umansky'],['Mauricio Umansky'],Mauricio Umansky,Mauricio Umansky,False,False,True,False,False
32,3,12,rank,['Tyson Beckford'],['Tyson Beckford'],['Tyson Beckford'],Tyson Beckford,Tyson Beckford,True,True,True,False,False
32,4,11,rank,['Adrian Peterson'],['Barry Williams'],['Barry Williams'],Alyson Hannigan,Alyson Hannigan,False,False,True,True,True
32,5,10,rank,['Mira Sorvino'],['Harry Jowsey'],['Harry Jowsey'],Harry Jowsey,Harry Jowsey,False,False,True,False,False
32,6,9,rank,['Mauricio Umansky'],['Harry Jowsey'],['Harry Jowsey'],Harry Jowsey,Harry Jowsey,False,False,True,False,False
32,7,8,rank,['Lele Pons'],['Harry Jowsey'],['Harry Jowsey'],Harry Jowsey,Harry Jowsey,False,False,True,False,False
32,8,7,rank,['Barry Williams'],['Harry Jowsey'],['Harry Jowsey'],Harry Jowsey,Harry Jowsey,False,False,True,False,False
32,9,6,rank,['Harry Jowsey'],['Harry Jowsey'],['Harry Jowsey'],Harry Jowsey,Harry Jowsey,True,True,True,False,False
33,2,13,rank,"['Tori Spelling', 'Anna Delvey']","['Reginald VelJohnson', 'Anna Delvey']","['Reginald VelJohnson', 'Eric Roberts']",Reginald VelJohnson,Eric Roberts,False,False,False,False,False
33,3,11,rank,"['Eric Roberts', 'Reginald VelJohnson']","['Reginald VelJohnson', 'Eric Roberts']","['Reginald VelJohnson', 'Eric Roberts']",Reginald VelJohnson,Reginald VelJohnson,True,True,True,False,False
33,4,9,rank,['Brooks Nader'],['Dwight Howard'],['Dwight Howard'],Dwight Howard,Dwight Howard,False,False,True,False,False
33,5,8,rank,['Phaedra Parks'],['Phaedra Parks'],['Phaedra Parks'],Dwight Howard,Dwight Howard,True,True,True,True,True
33,6,7,rank,['Jenn Tran'],['Ilona Maher'],['Ilona Maher'],Ilona Maher,Ilona Maher,False,False,True,False,False
33,7,6,rank,['Dwight Howard'],['Dwight Howard'],['Dwight Howard'],Dwight Howard,Dwight Howard,True,True,True,False,False
34,2,14,rank,"['Baron Davis', 'Corey Feldman']","['Corey Feldman', 'Andy Richter']","['Corey Feldman', 'Andy Richter']",Corey Feldman,Corey Feldman,False,False,True,False,False
34,3,12,rank,['Lauren Jauregui'],['Lauren Jauregui'],['Lauren Jauregui'],Andy Richter,Andy Richter,True,True,True,True,True
34,4,11,rank,['Hilaria Baldwin'],['Andy Richter'],['Andy Richter'],Andy Richter,Andy Richter,False,False,True,False,False
34,6,10,rank,['Scott Hoying'],['Andy Richter'],['Scott Hoying'],Andy Richter,Andy Richter,False,True,False,False,True
34,7,9,rank,['Jen Affleck'],['Andy Richter'],['Andy Richter'],Andy Richter,Andy Richter,False,False,True,False,False
34,8,8,rank,['Danielle Fishel'],['Andy Richter'],['Andy Richter'],Andy Richter,Andy Richter,False,False,True,False,False
34,9,7,rank,['Andy Richter'],['Andy Richter'],['Andy Richter'],Andy Richter,Andy Richter,True,True,True,False,False
34,10,6,rank,['Whitney Leavitt'],['Dylan Efron'],['Dylan Efron'],Dylan Efron,Dylan Efron,False,False,True,False,False
